,Avg. $/ML,Avg. Annual Profit ($),Avg. Annual Profit ($M),Avg. Dryland Area (Ha),Avg. GPWUI,Avg. IWUI,Avg. Irrigated Area (Ha),Avg. ML,Avg. ML/Ha,Income Volatility,Total GW Used (ML),Total Rainfall (mm),Total SW Used (ML),SW Allocation Index,gw_trigger_current_rules,gw_trigger_proposed_rules,gw_trigger_norm_dist,Ecology Index,Recreation Index,names
3066,26.55531171,66944805.26,66.94480526,0.796738037,0.571162168,0.722601875,0.203261963,210079.7699,1.252839294,0.427753942,11567924.56,129436.4772,19132299.5,0.988655792,0.48444794,0.666666667,0.550793308,0.456257261,0.736795259,best_case_rcp45_2016-2045 (usual)
3067,19.84976101,75921217.89,75.92121789,0.617866832,0.566865909,2.002235208,0.382133168,318732.7119,1.355844047,0.395520965,19811030.37,129436.4772,42650775.61,0.968087102,0.381959949,0.523070158,0.114360638,0.393902795,0.704936221,best_case_rcp45_2016-2045 (usual)
3068,23.57127949,67484225.9,67.4842259,0.742736487,0.576431067,1.330893847,0.257263513,238582.1055,0.860884936,0.526870212,6451184.536,129436.4772,20248945.01,0.993596601,0.359980718,0.497429132,0.047834937,0.385356818,0.732920809,best_case_rcp45_2016-2045 (usual)
3069,27.73143309,53354107.23,53.35410723,0.849763072,0.542799748,0.788865941,0.150236928,160329.8174,1.570560159,0.65343354,12132987.14,129436.4772,16313021.31,0.99869581,0.468566065,0.650158988,0.471006402,0.449005862,0.739023006,best_case_rcp45_2016-2045 (usual)
3070,25.52770095,66154257.7,66.1542577,0.751086807,0.576033402,1.406534374,0.248913193,215955.7893,0.881368533,0.531220747,5974390.455,129436.4772,20473773,0.996751687,0.363642514,0.498410121,-0.002926792,0.385662155,0.73626199,best_case_rcp45_2016-2045 (usual)
3071,41.10821704,60074886.99,60.07488699,0.904625875,0.584299244,0.344022879,0.095374125,121781.9926,0.66756627,0.531168793,2060689.497,129436.4772,5614957.923,1,0.5,0.666666667,0.60150502,0.467591284,0.781893459,best_case_rcp45_2016-2045 (usual)
3072,41.04898653,61163340.94,61.16334094,0.894083272,0.585662411,0.371023808,0.105916728,124167.3793,0.653539623,0.531592817,2469533.425,129436.4772,5875470.424,1,0.5,0.666666667,0.608294981,0.482988005,0.771960956,best_case_rcp45_2016-2045 (usual)
3073,30.102287,54215380.09,54.21538009,0.854580145,0.564848185,0.926810012,0.145419855,150086.5479,1.076351054,0.545090134,6576060.407,129436.4772,12293757.63,1,0.480557811,0.666666667,0.475872161,0.461057454,0.790154202,best_case_rcp45_2016-2045 (usual)
3074,23.20911082,65816187.56,65.81618756,0.814613047,0.566710926,0.772061401,0.185386953,236315.9166,1.327257925,0.423434883,7793091.349,129436.4772,21870556.59,0.991028097,0.468946621,0.666666667,0.515835976,0.432972833,0.731810201,best_case_rcp45_2016-2045 (usual)
3075,39.98300529,62518417.32,62.51841732,0.88466704,0.590641634,0.448150818,0.11533296,130302.0639,0.561876739,0.535497285,2459855.401,129436.4772,5352546.109,1,0.438079291,0.6139977,0.389917415,0.445255237,0.764943877,best_case_rcp45_2016-2045 (usual)
